Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,477.820740,523.042114,477.795959,517.692810,500.860779,143481484
2016-04-01,514.671448,529.926819,484.829315,486.736237,475.800232,161217673
2016-05-01,484.903595,492.803711,458.479065,474.427887,463.768402,137694499
2016-06-01,474.477417,492.407471,462.317688,480.024841,469.239655,120539575
2016-07-01,481.807953,514.498047,480.445862,502.685059,491.390686,107208849
2016-08-01,504.220490,531.957581,487.082947,525.023315,513.227051,124825078
2016-09-01,521.556152,559.471741,496.444214,536.762024,524.702087,207450457
2016-10-01,538.396545,557.837280,516.801270,522.522034,510.781982,124131133
2016-11-01,520.714172,523.017334,460.633667,490.376709,479.358917,132085545
2016-12-01,495.304993,537.405945,488.618378,536.118164,524.072632,133214854
2017-01-01,536.910645,543.597229,501.644897,517.692810,506.061310,125066274
2017-02-01,518.138550,622.499329,506.201721,613.212341,599.434692,232426459
2017-03-01,614.227722,662.544739,607.763977,654.248352,639.548706,302502650
2017-04-01,664.699341,726.983948,662.247559,691.049561,675.523010,208781590
2017-05-01,691.049561,694.417603,641.469482,664.055420,649.135376,148183873
2017-06-01,660.092957,715.913879,648.354248,683.520935,668.163574,170892671
2017-07-01,687.582397,808.090088,679.063171,800.016663,782.041870,224060959
2017-08-01,803.756165,824.633301,757.816650,789.763855,777.680481,129814885
2017-09-01,792.413696,864.307251,771.784241,773.567383,761.731873,176230339
2017-10-01,773.567383,948.806274,773.567383,932.015442,917.755676,151198883
2017-11-01,938.850647,950.490295,864.802551,912.896667,898.929443,132088378
2017-12-01,915.769409,930.083740,854.549744,912.401367,898.441711,122020943
2018-01-01,914.035828,981.644958,897.888916,952.273376,937.703613,133375444
2018-02-01,954.205078,963.467285,862.821289,945.586792,931.119324,146310388
2018-03-01,940.831848,950.886536,871.736816,874.411438,861.033020,134065567
2018-04-01,884.614746,1001.506714,876.937500,954.254639,939.654602,127094404
2018-05-01,954.254639,990.609985,898.087036,912.698547,898.734314,128113280
2018-06-01,911.361206,1026.271973,909.825745,963.318726,948.579956,163110056
2018-07-01,963.219666,1179.222168,948.013794,1174.863525,1164.022461,201167225
2018-08-01,1179.222168,1316.520752,1155.001709,1229.990967,1218.641235,150213627
2018-09-01,1233.309448,1269.318115,1172.386963,1246.137817,1234.639160,181637689
2018-10-01,1245.890259,1245.890259,1006.856018,1051.284912,1041.584229,278098652
2018-11-01,1057.872437,1174.863525,1040.140503,1156.586670,1145.914307,165233102
2018-12-01,1163.867676,1163.867676,1045.093506,1110.721436,1100.472290,154182636
2019-01-01,1114.683960,1252.824463,1070.948486,1215.627075,1204.409912,215775070
2019-02-01,1222.412720,1308.793945,1194.675659,1219.490479,1208.237671,176068478
2019-03-01,1225.384521,1374.966675,1207.157349,1350.449097,1337.987915,188456070
2019-04-01,1357.135742,1399.137573,1308.595825,1379.721558,1366.990234,168529133
2019-05-01,1379.721558,1404.189697,1215.973755,1317.659912,1305.501221,247527281
2019-06-01,1322.464355,1361.345825,1236.925171,1241.333374,1229.878906,134542410
2019-07-01,1246.236938,1287.792969,1151.485107,1155.298950,1144.638428,159478639
2019-08-01,1152.475708,1292.201172,1085.015137,1236.826172,1225.413452,241370859
2019-09-01,1236.826172,1323.207275,1161.638794,1319.740234,1314.803345,183240832
2019-10-01,1324.445557,1475.662231,1269.268555,1450.599731,1445.173340,165829075
2019-11-01,1441.337524,1569.274902,1409.192261,1536.584717,1530.836670,168624156
2019-12-01,1584.975952,1602.361206,1493.889404,1499.833130,1494.222534,173093325
2020-01-01,1503.745972,1593.891479,1393.986450,1398.394653,1393.163574,201733860
2020-02-01,1392.104248,1493.839844,1312.558228,1316.173950,1311.250366,185522260
2020-03-01,1342.375610,1356.145142,867.427673,1103.291870,1099.164673,459269330
2020-04-01,1111.712036,1480.912476,1035.385620,1452.234253,1446.801758,478245980
2020-05-01,1452.234253,1599.835205,1393.000000,1464.400024,1458.921997,463908941
2020-06-01,1480.000000,1804.199951,1475.949951,1704.099976,1697.725342,397672706
2020-07-01,1720.000000,2198.800049,1708.050049,2067.100098,2059.367432,616536793
2020-08-01,2051.300049,2196.000000,2000.250000,2080.699951,2080.699951,383255989
2020-09-01,2100.000000,2369.350098,2044.250000,2234.350098,2234.350098,378761955
2020-10-01,2263.800049,2309.000000,1991.000000,2054.500000,2054.500000,259827270
2020-11-01,2027.000000,2095.000000,1835.099976,1929.800049,1929.800049,432225361
2020-12-01,1940.349976,2038.000000,1855.250000,1985.300049,1985.300049,232769277
2021-01-01,1988.000000,2120.000000,1830.000000,1841.949951,1841.949951,300050658
2021-02-01,1859.400024,2152.000000,1848.000000,2085.800049,2085.800049,241126674
2021-03-01,null,null,null,null,null,null
